complaint_id,date_received,probe_a_category,probe_b_belongs,verdict
8100483,2024-01-03T11:35:41.000Z,Debt or credit management,YES,belongs
8125200,2024-01-09T02:42:13.000Z,Mortgage,NO,misroute_both_probes
8156897,2024-01-15T17:47:11.000Z,Debt collection,NO,misroute_both_probes
8191965,2024-01-20T22:25:53.000Z,Debt or credit management,NO,misroute_one_probe
8224405,2024-01-25T19:33:08.000Z,Debt collection,NO,misroute_both_probes
8232543,2024-01-26T21:09:46.000Z,Debt or credit management,YES,belongs
8232776,2024-01-27T00:34:20.000Z,Debt collection,NO,misroute_both_probes
8247250,2024-01-29T18:11:09.000Z,Debt or credit management,NO,misroute_one_probe
8259075,2024-01-31T22:54:10.000Z,Debt or credit management,YES,belongs
8282794,2024-02-06T05:51:06.000Z,Debt or credit management,YES,belongs
8378760,2024-02-19T22:35:20.000Z,Debt or credit management,YES,belongs
8423181,2024-02-27T01:27:52.000Z,Debt collection,NO,misroute_both_probes
8421824,2024-02-27T04:22:02.000Z,Credit card,NO,misroute_both_probes
8439542,2024-02-29T01:35:35.000Z,Debt collection,NO,misroute_both_probes
8452023,2024-03-02T04:52:24.000Z,Checking or savings account,NO,misroute_both_probes
8465261,2024-03-03T23:14:05.000Z,Debt collection,YES,misroute_one_probe
8468979,2024-03-04T17:01:39.000Z,Debt or credit management,YES,belongs
8471301,2024-03-04T20:26:24.000Z,Checking or savings account,NO,misroute_both_probes
8499927,2024-03-07T21:03:16.000Z,Debt collection,NO,misroute_both_probes
8509228,2024-03-08T15:49:23.000Z,"Money transfer, virtual currency, or money service",NO,misroute_both_probes
8545435,2024-03-14T15:45:32.000Z,Debt collection,NO,misroute_both_probes
8609258,2024-03-22T17:24:51.000Z,Debt or credit management,YES,belongs
8640717,2024-03-27T20:27:41.000Z,Debt or credit management,NO,misroute_one_probe
8660300,2024-03-30T06:12:13.000Z,Debt collection,NO,misroute_both_probes
8663368,2024-03-31T06:08:28.000Z,Debt or credit management,YES,belongs
8664922,2024-03-31T21:31:41.000Z,Debt collection,NO,misroute_both_probes
8675924,2024-04-02T06:27:29.000Z,Credit card,NO,misroute_both_probes
8677375,2024-04-03T02:46:29.000Z,Debt collection,NO,misroute_both_probes
8691997,2024-04-03T17:15:55.000Z,Debt collection,NO,misroute_both_probes
8691823,2024-04-04T04:13:43.000Z,Debt or credit management,YES,belongs
8689548,2024-04-05T02:26:57.000Z,Checking or savings account,NO,misroute_both_probes
8688506,2024-04-05T04:46:42.000Z,Debt collection,NO,misroute_both_probes
8707554,2024-04-05T18:08:49.000Z,Debt or credit management,YES,belongs
8714733,2024-04-06T07:04:52.000Z,Credit card,NO,misroute_both_probes
8723416,2024-04-08T21:36:19.000Z,Mortgage,NO,misroute_both_probes
8752736,2024-04-11T20:21:22.000Z,Credit card,NO,misroute_both_probes
8751412,2024-04-11T22:41:16.000Z,Checking or savings account,NO,misroute_both_probes
8762636,2024-04-12T18:58:41.000Z,Debt collection,NO,misroute_both_probes
8808044,2024-04-18T17:00:29.000Z,Debt or credit management,NO,misroute_one_probe
8829424,2024-04-22T16:49:37.000Z,Credit card,NO,misroute_both_probes
8846366,2024-04-24T13:08:22.000Z,"Payday loan, title loan, personal loan, or advance loan",NO,misroute_both_probes
8869486,2024-04-26T15:56:27.000Z,Debt collection,NO,misroute_both_probes
8885085,2024-04-29T14:47:41.000Z,Debt or credit management,YES,belongs
8916688,2024-05-02T16:56:24.000Z,Debt collection,NO,misroute_both_probes
8926071,2024-05-03T15:59:29.000Z,Debt or credit management,YES,belongs
8939953,2024-05-06T23:43:22.000Z,Debt or credit management,YES,belongs
8974484,2024-05-09T18:08:23.000Z,Debt or credit management,YES,belongs
8989247,2024-05-12T04:41:51.000Z,Debt collection,NO,misroute_both_probes
9003534,2024-05-14T19:06:04.000Z,Checking or savings account,NO,misroute_both_probes
9003888,2024-05-14T20:26:44.000Z,Debt or credit management,YES,belongs
9027253,2024-05-16T15:48:32.000Z,Debt or credit management,YES,belongs
9102104,2024-05-27T00:42:14.000Z,Debt or credit management,NO,misroute_one_probe
9129063,2024-05-29T16:04:50.000Z,Debt collection,NO,misroute_both_probes
9134544,2024-05-30T20:48:15.000Z,Credit card,NO,misroute_both_probes
9188358,2024-06-05T09:21:26.000Z,Debt collection,NO,misroute_both_probes
9218640,2024-06-10T23:17:16.000Z,Credit card,NO,misroute_both_probes
9236217,2024-06-12T01:41:01.000Z,Debt or credit management,YES,belongs
9246569,2024-06-12T15:52:54.000Z,Debt or credit management,YES,belongs
9275864,2024-06-17T21:17:23.000Z,Debt or credit management,YES,belongs
